stage,method,status,error,d,hidden_dim,hidden_multiplier,k,k_max,target_l0,lambda_prior,beta,best_epoch,epochs_trained,stopped_reason,runtime_seconds,peak_memory_mb,test_nmse,test_mse,l0,dead_pct,top1_agreement,original_top1_accuracy,reconstructed_top1_accuracy,logit_kl,suffix_max_abs_diff,checkpoint_path,sparsity_lambda,sparsity_target_l0,jump_init_threshold,jump_bandwidth
stage4,l1_sae,ok,,768,3072,4,,,256.0,,,300,300,max_epochs,454.7,458.4,0.3196095,0.02623048,213.64612564,2.0833,0.9609375,0.90234375,0.88671875,0.05467686,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k256.pt,0.0052,256.0,,
stage4,jumprelu_sae,ok,,768,3072,4,,,8.0,,,226,257,early_stop_patience_30,408.8,714.2,0.83079845,0.06818396,8.3910236,0.0326,0.31445312,0.90234375,0.296875,2.69603102,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k8.pt,0.025,8.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,11.0,,,274,300,max_epochs,491.0,714.2,0.77123534,0.06329559,11.68562659,0.0,0.57421875,0.90234375,0.53710938,1.58181021,0.0007435083389282227,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k11.pt,0.018,11.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,16.0,,,257,289,early_stop_patience_30,471.9,714.2,0.72407722,0.05942531,16.86670918,0.0,0.76757812,0.90234375,0.72851562,0.83900305,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k16.pt,0.012,16.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,23.0,,,257,289,early_stop_patience_30,447.2,714.2,0.67993859,0.05580283,25.23114636,0.0,0.80273438,0.90234375,0.765625,0.61659546,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k23.pt,0.008,23.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,32.0,,,277,300,max_epochs,450.1,714.2,0.63479733,0.05209807,30.54117506,0.0,0.87109375,0.90234375,0.84179688,0.32716203,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k32.pt,0.006,32.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,45.0,,,242,273,early_stop_patience_30,415.8,714.2,0.60482466,0.0496382,40.42805325,0.0,0.89648438,0.90234375,0.8515625,0.2617043,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k45.pt,0.0045,45.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,64.0,,,217,251,early_stop_patience_30,396.3,714.2,0.56856955,0.04666273,54.51957111,0.0,0.91210938,0.90234375,0.87304688,0.20207936,0.0007435083389282227,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k64.pt,0.0033,64.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,91.0,,,172,207,early_stop_patience_30,312.9,714.2,0.51057686,0.04190325,80.74210778,0.0,0.93945312,0.90234375,0.890625,0.14322304,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k91.pt,0.0022,91.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,128.0,,,149,179,early_stop_patience_30,286.2,714.2,0.45374252,0.03723883,112.06700415,0.0,0.94335938,0.90234375,0.89453125,0.09562339,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k128.pt,0.0015,128.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,181.0,,,119,150,early_stop_patience_30,227.8,714.2,0.38940198,0.03195838,156.70994101,0.0,0.95507812,0.90234375,0.89648438,0.06862802,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k181.pt,0.001,181.0,0.01,0.05
stage4,jumprelu_sae,ok,,768,3072,4,,,256.0,,,98,130,early_stop_patience_30,202.5,714.2,0.32728344,0.02686028,223.55871333,0.0,0.95898438,0.90234375,0.8984375,0.04665441,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_jumprelu_sae_k256.pt,0.00065,256.0,0.01,0.05
